City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,TotalCrime
Canyon Lake,11112,7,0,0,1,6,93,18,59,16,0,200
Capitola,10201,28,0,2,12,14,658,41,585,32,1,1373
Carlsbad,113972,172,0,33,38,101,"2,134",366,"1,627",141,8,4620
Carmel,3913,10,0,2,0,8,114,28,79,7,0,248
Carpinteria,13829,11,0,0,2,9,206,45,147,14,3,437
Carson,93677,433,7,14,115,297,"2,146",469,"1,282",395,10,5168
Cathedral City,53947,117,3,13,49,52,"1,152",327,505,320,4,2542
Central Marin,35272,40,0,8,10,22,757,282,417,58,0,1594
Ceres,47693,122,0,10,55,57,"1,606",232,920,454,4,3460
Cerritos,50238,91,0,7,46,38,"1,899",354,"1,324",221,1,3981
Chico3,89949,317,2,59,87,169,"3,634",642,"2,591",401,191,8093
Chino,86344,221,0,21,53,147,"2,138",375,"1,501",262,9,4727
Chino Hills,77515,70,0,7,23,40,"1,073",216,761,96,1,2287
Chowchilla,18978,74,0,2,4,68,329,91,197,41,7,813
Chula Vista,265215,705,6,63,239,397,"4,619",710,"3,093",816,27,10675
Citrus Heights,86853,385,4,36,113,232,"2,586",375,"1,942",269,6,5948
City of Angels3,3738,17,0,1,1,15,57,9,37,11,0,148
Claremont3,36331,64,1,12,15,36,985,249,674,62,1,2099
Clayton,11879,11,0,0,2,9,150,26,105,19,1,323
Clearlake3,15044,117,5,6,27,79,614,223,302,89,6,1468
Cloverdale,8839,15,0,2,5,8,119,22,87,10,0,268
